file_name,dimension,level,polarity,ratings_observed,usernames
sample_00.mp3,AGEV,0,negative,1,user_3
sample_00.mp3,AGEV,1,positive,1,user_0
sample_00.mp3,AGEV,2,positive,1,user_0
sample_00.mp3,AGEV,3,positive,1,user_0
sample_00.mp3,AGEV,4,negative,1,user_2
sample_00.mp3,AGEV,5,negative,1,user_0
sample_00.mp3,AGEV,5,positive,1,user_0
sample_00.mp3,AROU,0,negative,1,user_0
sample_00.mp3,AROU,0,positive,1,user_0
sample_00.mp3,AROU,1,negative,1,user_1
sample_00.mp3,AROU,1,positive,1,user_0
sample_00.mp3,AROU,3,negative,1,user_0
sample_00.mp3,AROU,3,positive,1,user_0
sample_00.mp3,AROU,4,negative,1,user_0
sample_00.mp3,AROU,4,positive,1,user_0
sample_00.mp3,AROU,5,positive,1,user_3
sample_00.mp3,AROU,6,negative,1,user_3
sample_00.mp3,AROU,6,positive,1,user_0
sample_00.mp3,ARSH,0,negative,1,user_2
sample_00.mp3,ARSH,0,positive,1,user_0
sample_00.mp3,ARSH,1,negative,1,user_0
sample_00.mp3,ARSH,1,positive,1,user_2
sample_00.mp3,ARSH,2,negative,1,user_2
sample_00.mp3,ARSH,2,positive,1,user_0
sample_00.mp3,ARSH,3,positive,1,user_0
sample_00.mp3,ARSH,4,negative,1,user_2
sample_00.mp3,ARSH,4,positive,1,user_0
sample_00.mp3,ARSH,5,positive,1,user_0
sample_00.mp3,ARSH,6,positive,1,user_0
sample_00.mp3,ATCK,0,positive,1,user_0
sample_00.mp3,ATCK,1,positive,1,user_3
sample_00.mp3,ATCK,2,positive,1,user_0
sample_00.mp3,ATCK,3,negative,1,user_0
sample_00.mp3,ATCK,4,negative,1,user_0
sample_00.mp3,ATCK,5,positive,1,user_2
sample_00.mp3,ATCK,6,negative,1,user_3
sample_00.mp3,BKGN,0,negative,1,user_0
sample_00.mp3,BKGN,0,positive,1,user_0
sample_00.mp3,BKGN,1,negative,1,user_0
sample_00.mp3,BKGN,2,negative,1,user_4
sample_00.mp3,BKGN,4,negative,1,user_1
sample_00.mp3,BKGN,4,positive,1,user_0
sample_00.mp3,BKGN,5,positive,1,user_0
sample_00.mp3,BKGN,6,positive,1,user_0
sample_00.mp3,BRGT,1,positive,1,user_0
sample_00.mp3,BRGT,2,negative,1,user_0
sample_00.mp3,BRGT,3,negative,1,user_0
sample_00.mp3,BRGT,4,negative,1,user_0
sample_00.mp3,BRGT,4,positive,1,user_0
sample_00.mp3,BRGT,5,negative,1,user_4
sample_00.mp3,BRGT,5,positive,1,user_2
sample_00.mp3,BRGT,6,positive,1,user_2
sample_00.mp3,CHNK,0,negative,1,user_0
sample_00.mp3,CHNK,0,positive,1,user_0
sample_00.mp3,CHNK,1,negative,1,user_0
sample_00.mp3,CHNK,2,negative,1,user_0
sample_00.mp3,CHNK,2,positive,1,user_0
sample_00.mp3,CHNK,3,positive,1,user_0
sample_00.mp3,CHNK,4,positive,1,user_0
sample_00.mp3,CHNK,5,negative,1,user_0
sample_00.mp3,CHNK,6,negative,1,user_0
sample_00.mp3,CHNK,6,positive,1,user_0
sample_00.mp3,CLRT,0,negative,1,user_0
sample_00.mp3,CLRT,1,negative,1,user_0
sample_00.mp3,CLRT,1,positive,1,user_0
sample_00.mp3,CLRT,2,negative,1,user_0
sample_00.mp3,CLRT,3,negative,1,user_0
sample_00.mp3,CLRT,4,negative,1,user_0
sample_00.mp3,CLRT,4,positive,1,user_0
sample_00.mp3,CLRT,5,negative,1,user_0
sample_00.mp3,CLRT,6,negative,1,user_0
sample_00.mp3,COGL,0,negative,1,user_2
sample_00.mp3,COGL,0,positive,1,user_4
sample_00.mp3,COGL,1,negative,1,user_4
sample_00.mp3,COGL,2,negative,1,user_3
sample_00.mp3,COGL,2,positive,1,user_0
sample_00.mp3,COGL,4,positive,1,user_0
sample_00.mp3,COGL,5,negative,1,user_0
sample_00.mp3,COGL,5,positive,1,user_0
sample_00.mp3,COGL,6,negative,1,user_2
sample_00.mp3,DARC,0,negative,1,user_0
sample_00.mp3,DARC,0,positive,1,user_2
sample_00.mp3,DARC,1,negative,1,user_0
sample_00.mp3,DARC,1,positive,1,user_0
sample_00.mp3,DARC,2,negative,1,user_4
sample_00.mp3,DARC,2,positive,1,user_0
sample_00.mp3,DARC,3,negative,1,user_0
sample_00.mp3,DARC,3,positive,1,user_0
sample_00.mp3,DARC,4,negative,1,user_0
sample_00.mp3,DARC,5,negative,1,user_0
sample_00.mp3,DARC,5,positive,1,user_0
sample_00.mp3,DARC,6,negative,1,user_0
sample_00.mp3,DFLU,0,positive,1,user_0
sample_00.mp3,DFLU,1,negative,1,user_0
sample_00.mp3,DFLU,1,positive,1,user_0
sample_00.mp3,DFLU,2,negative,1,user_0
sample_00.mp3,DFLU,2,positive,1,user_0
sample_00.mp3,DFLU,3,negative,1,user_2
sample_00.mp3,DFLU,4,negative,1,user_0
sample_00.mp3,DFLU,4,positive,1,user_0
sample_00.mp3,DFLU,5,positive,1,user_0
sample_00.mp3,DFLU,6,positive,1,user_0
sample_00.mp3,EMPH,0,negative,1,user_0
sample_00.mp3,EMPH,1,negative,1,user_0
sample_00.mp3,EMPH,3,negative,1,user_0
sample_00.mp3,EMPH,5,positive,1,user_0
sample_00.mp3,EMPH,6,positive,1,user_2
sample_00.mp3,ESTH,0,positive,1,user_0
sample_00.mp3,ESTH,2,negative,1,user_0
sample_00.mp3,ESTH,2,positive,1,user_0
sample_00.mp3,ESTH,3,positive,1,user_4
sample_00.mp3,ESTH,4,negative,1,user_0
sample_00.mp3,ESTH,4,positive,1,user_0
sample_00.mp3,ESTH,5,positive,1,user_0
sample_00.mp3,EXPL,1,negative,1,user_0
sample_00.mp3,EXPL,2,negative,1,user_2
sample_00.mp3,EXPL,2,positive,1,user_0
sample_00.mp3,FOCS,0,negative,1,user_0
sample_00.mp3,FOCS,0,positive,1,user_0
sample_00.mp3,FOCS,1,negative,1,user_0
sample_00.mp3,FOCS,1,positive,1,user_0
sample_00.mp3,FOCS,2,negative,1,user_0
sample_00.mp3,FOCS,2,positive,1,user_0
sample_00.mp3,FOCS,3,negative,1,user_0
sample_00.mp3,FOCS,3,positive,1,user_2
sample_00.mp3,FOCS,5,positive,1,user_0
sample_00.mp3,FOCS,6,positive,1,user_0
sample_00.mp3,FULL,0,positive,1,user_0
sample_00.mp3,FULL,1,positive,1,user_0
