dimension,items,majority_yes_rate,unanimous_rate,polarity_match_rate
REGS,350,0.18285714285714286,0.26285714285714284,0.5857142857142857
VULN,350,0.28285714285714286,0.30857142857142855,0.5771428571428572
ARSH,350,0.19142857142857142,0.31142857142857144,0.6114285714285714
ATCK,350,0.3485714285714286,0.3457142857142857,0.6428571428571429
S_MONO,350,0.34,0.3142857142857143,0.64
S_DRAM,350,0.24285714285714285,0.2914285714285714,0.6228571428571429
S_PLAY,350,0.22285714285714286,0.26857142857142857,0.62
S_RANT,350,0.26,0.3,0.6514285714285715
S_WHIS,350,0.26,0.3,0.64
GEND,350,0.19714285714285715,0.2542857142857143,0.6342857142857142
VFLX,350,0.12571428571428572,0.29714285714285715,0.5514285714285714
AGEV,349,0.2664756446991404,0.28939828080229224,0.6045845272206304
S_CART,347,0.2968299711815562,0.3025936599423631,0.6714697406340058
RESP,344,0.31976744186046513,0.3168604651162791,0.6308139534883721
VALN,343,0.27113702623906705,0.2944606413994169,0.6326530612244898
AROU,343,0.22448979591836735,0.2915451895043732,0.60932944606414
STNC,342,0.32748538011695905,0.30116959064327486,0.6929824561403509
S_FORM,342,0.30994152046783624,0.26900584795321636,0.6929824561403509
FOCS,341,0.21407624633431085,0.23460410557184752,0.5483870967741935
DFLU,340,0.3,0.3235294117647059,0.6558823529411765
S_NEWS,340,0.31176470588235294,0.3411764705882353,0.6617647058823529
R_HEAD,340,0.21764705882352942,0.2911764705882353,0.5441176470588235
S_AUTH,338,0.27218934911242604,0.28402366863905326,0.6775147928994083
R_THRT,336,0.24107142857142858,0.26785714285714285,0.6071428571428571
S_STRY,335,0.3074626865671642,0.31044776119402984,0.6686567164179105
S_ASMR,333,0.23423423423423423,0.32432432432432434,0.6336336336336337
S_CONV,333,0.2852852852852853,0.2912912912912913,0.6456456456456456
CLRT,332,0.28313253012048195,0.3102409638554217,0.5813253012048193
R_MASK,332,0.2319277108433735,0.33433734939759036,0.6204819277108434
S_NARR,329,0.2553191489361702,0.2887537993920973,0.6413373860182371
DARC,329,0.17325227963525835,0.2735562310030395,0.5562310030395137
VALS,328,0.17378048780487804,0.27134146341463417,0.5548780487804879
S_TECH,322,0.2670807453416149,0.2981366459627329,0.5993788819875776
METL,322,0.20186335403726707,0.2950310559006211,0.577639751552795
CHNK,321,0.2554517133956386,0.2585669781931464,0.5482866043613707
BRGT,320,0.26875,0.25625,0.553125
COGL,320,0.28125,0.278125,0.596875
R_CHST,320,0.284375,0.259375,0.58125
R_MIXD,318,0.22955974842767296,0.29559748427672955,0.5754716981132075
VOLT,318,0.29874213836477986,0.330188679245283,0.5849056603773585
TEMP,318,0.20754716981132076,0.279874213836478,0.5408805031446541
ESTH,317,0.2996845425867508,0.30914826498422715,0.6246056782334385
S_CASU,316,0.22784810126582278,0.22151898734177214,0.6170886075949367
BKGN,315,0.2634920634920635,0.3047619047619048,0.5936507936507937
WARM,314,0.22929936305732485,0.2070063694267516,0.5859872611464968
SMTH,314,0.28343949044585987,0.27070063694267515,0.5987261146496815
HARM,313,0.17891373801916932,0.28753993610223644,0.5559105431309904
EMPH,313,0.3003194888178914,0.30990415335463256,0.6325878594249201
R_ORAL,311,0.21221864951768488,0.3183279742765273,0.5498392282958199
STRU,305,0.2754098360655738,0.2786885245901639,0.6524590163934426
ROUG,303,0.2376237623762376,0.264026402640264,0.6171617161716172
RANG,302,0.2582781456953642,0.22185430463576158,0.5629139072847682
TENS,302,0.2682119205298013,0.2814569536423841,0.6357615894039735
RCQL,286,0.2867132867132867,0.25874125874125875,0.486013986013986
R_NASL,279,0.21505376344086022,0.27956989247311825,0.6129032258064516
FULL,273,0.23809523809523808,0.2783882783882784,0.5677655677655677
EXPL,144,0.3333333333333333,0.3263888888888889,0.6875
LANG,100,0.23,0.22,0.23
