queried_emotion,items,majority_present_rate,unanimous_binary_rate,unanimous_ordinal_rate
Sexual_Lust,280,0.2892857142857143,0.3464285714285714,0.30357142857142855
Fear,311,0.3279742765273312,0.27009646302250806,0.22508038585209003
Embarrassment,317,0.4479495268138801,0.24605678233438485,0.1608832807570978
Intoxication_Altered_States_of_Consciousness,606,0.45544554455445546,0.18646864686468648,0.10396039603960396
Triumph,378,0.4708994708994709,0.26455026455026454,0.15873015873015872
Longing,250,0.48,0.244,0.128
Anger,352,0.48863636363636365,0.3664772727272727,0.22727272727272727
Disgust,127,0.49606299212598426,0.2677165354330709,0.14960629921259844
Elation,325,0.49846153846153846,0.24923076923076923,0.15692307692307692
Pain,171,0.5380116959064327,0.3391812865497076,0.18128654970760233
Sourness,221,0.5565610859728507,0.2850678733031674,0.16289592760180996
Infatuation,423,0.5602836879432624,0.2127659574468085,0.12293144208037825
Fatigue_Exhaustion,244,0.569672131147541,0.3073770491803279,0.1762295081967213
Emotional_Numbness,207,0.5700483091787439,0.3140096618357488,0.20772946859903382
Impatience_and_Irritability,238,0.5756302521008403,0.41596638655462187,0.24789915966386555
Jealousy___Envy,100,0.58,0.31,0.13
Shame,125,0.584,0.304,0.136
Relief,162,0.5864197530864198,0.29012345679012347,0.14814814814814814
Malevolence_Malice,100,0.59,0.31,0.22
Contempt,189,0.6084656084656085,0.2857142857142857,0.13756613756613756
Sadness,150,0.62,0.4866666666666667,0.2
Awe,131,0.6335877862595419,0.32061068702290074,0.16030534351145037
Amusement,229,0.6375545851528385,0.31004366812227074,0.1703056768558952
Teasing,100,0.64,0.24,0.15
Bitterness,129,0.6434108527131783,0.3953488372093023,0.1937984496124031
Contentment,250,0.648,0.304,0.164
Distress,200,0.665,0.445,0.25
Pride,150,0.6733333333333333,0.24,0.09333333333333334
Pleasure_Ecstasy,172,0.6744186046511628,0.4476744186046512,0.18604651162790697
Affection,201,0.6915422885572139,0.3681592039800995,0.1691542288557214
Helplessness,141,0.6950354609929078,0.40425531914893614,0.18439716312056736
Disappointment,125,0.72,0.448,0.176
Contemplation,131,0.7404580152671756,0.40458015267175573,0.11450381679389313
Confusion,113,0.7876106194690266,0.4336283185840708,0.11504424778761062
Concentration,125,0.832,0.48,0.152
Astonishment_Surprise,100,0.89,0.49,0.18
Hope_Enthusiasm_Optimism,111,0.9009009009009009,0.5675675675675675,0.1981981981981982
Interest,101,0.900990099009901,0.6039603960396039,0.2079207920792079
Doubt,100,0.96,0.55,0.18
Thankfulness_Gratitude,103,0.9805825242718447,0.6796116504854369,0.3300970873786408
